id,name,buy,sell,supply,demand
24,"Sealed Package of Snowballs",520,990,987,478
68,"Mighty Country Coat",134,159,74,1583
69,"Mighty Country Coat",138,297,675,2272
70,"Mighty Studded Coat",23,99,1127,4016
71,"Mighty Worn Chain Greaves",108,390,496,1422
72,"Berserker's Sneakthief Mask of the Afflicted",80567,168888,15,140
73,"Berserker's Sneakthief Mask of Dwayna",6109,10038,77,65
74,"Mighty Worn Chain Greaves",109,221,159,1564
75,"Berserker's Sneakthief Mask of Strength",145121,164899,34,226
76,"Berserker's Seer Coat of the Flame Legion",28020,93126,10,378
77,"Mighty Studded Coat",39,107,994,3948
78,"Strong Worn Scale Boots",174,220,129,213
79,"Berserker's Seer Coat of the Traveler",60157,72300,64,82
80,"Nika's Mask",40705,54900,51,136
81,"Mighty Studded Boots",21,190,177,562
82,"Berserker's Seer Coat of the Afflicted",6300,9280,444,110
83,"Strong Worn Scale Boots",162,200,192,88
84,"Zhed's Coat",36142,49467,120,129
85,"Carrion Seer Coat of Rage",28003,57962,6,146
86,"Carrion Sneakthief Mask of Grenth",16863,40892,14,56
87,"Strong Worn Scale Boots",139,228,59,641
88,"Carrion Seer Coat of the Centaur",6402,9297,281,77
89,"Carrion Sneakthief Mask of Balthazar",4559,9297,219,27
90,"Berserker's Reinforced Scale Boots",121,180,79,408
91,"Carrion Seer Coat of the Afflicted",7009,9287,233,215
92,"Carrion Sneakthief Mask of the Flame Legion",7031,9330,208,101
93,"Shiro's Mask",8205,11073,150,74
94,"Ogden's Coat",134899,154500,21,99
95,"Berserker's Reinforced Scale Boots",96,225,84,472
96,"Rampager's Sneakthief Mask of the Citadel",14713,32999,18,71
97,"Rampager's Seer Coat of the Traveler",66199,100051,25,104
98,"Berserker's Reinforced Scale Boots",87,175,88,361
99,"Mighty Studded Boots",16,190,1060,1417
100,"Rampager's Seer Coat of Divinity",38108,55500,25,109
101,"Rampager's Sneakthief Mask of the Traveler",60361,99979,25,186
102,"Berserker's Reinforced Scale Boots",88,199,82,1402
103,"Aidan's Mask",21057,29896,342,211
104,"Norgu's Coat",10097,11094,303,118
105,"Shaman's Seer Coat of the Flame Legion",23003,49987,16,77
106,"Berserker's Sneakthief Coat of the Dolyak",80635,109996,17,252
107,"Shaman's Sneakthief Mask of the Grove",12061,14099,35,32
108,"Shaman's Seer Coat of Divinity",60615,95053,34,115
109,"Shaman's Sneakthief Mask of Melandru",68209,89994,7,79
110,"Berserker's Reinforced Scale Boots",111,135,148,1915
111,"Tahlkora's Coat",8902,11600,136,120
112,"Berserker's Sneakthief Coat of the Centaur",7511,17000,31,88
113,"Cleric's Seer Coat of the Eagle",24681,39090,13,54
114,"Mighty Worn Chain Greaves",108,208,108,452
115,"Reyna's Mask",78015,81020,50,80
116,"Cleric's Sneakthief Mask of the Pack",11603,19594,21,88
117,"Cleric's Seer Coat of the Afflicted",5115,12478,24,51
118,"Mhenlo's Coat",7506,10692,267,103
119,"Berserker's Sneakthief Coat of Vampirism",6817,9382,276,55
120,"Strong Worn Chain Greaves",104,219,126,297
