Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin
"Berserker's Seer Coat of the Flame Legion",19347,23151,50000,397,13,83.568744330698
"Nika's Mask",4486,26112,36000,110,56,17.179840686275
"Carrion Seer Coat of Rage",6700.15,27297,39999,129,23,24.545371286222
"Carrion Sneakthief Mask of Grenth",5221.6,16873,25996,45,12,30.94648254608
"Rampager's Sneakthief Mask of the Citadel",9788.2,13102,26932,58,11,74.707678217066
"Rampager's Seer Coat of the Traveler",20508.7,85605,124842,93,16,23.957362303604
"Rampager's Seer Coat of Divinity",27080,70668,115000,109,18,38.320031697515
"Shaman's Seer Coat of the Flame Legion",4857,22766,32500,67,19,21.334446103839
"Shaman's Sneakthief Mask of the Grove",32710.05,10292,50593,22,17,317.82015157404
"Cleric's Seer Coat of the Eagle",21201.15,17046,44999,44,13,124.3760999648
"Cleric's Sneakthief Mask of the Pack",23608.85,7619,36741,81,6,309.86809292558
"Cleric's Seer Coat of the Afflicted",15181.1,10288,29966,30,18,147.56123639191
"Cleric's Sneakthief Mask of Rage",2882.7,5617,10002,54,32,51.320989852234
"Nika's Coat",7545.15,51102,68999,134,72,14.764882000704
"Carrion Sneakthief Coat of Mercy",20668.9,26839,55894,94,9,77.010693393942
"Berserker's Sneakthief Sandals of the Dolyak",14300.85,13731,32981,239,35,104.15009831768
"Rampager's Sneakthief Coat of the Pack",20654.6,30340,59996,118,14,68.077125906394
"Rampager's Sneakthief Coat of Vampirism",3518.5,23161,31390,210,27,15.191485687146
"Aidan's Coat",4365.15,30006,40439,339,59,14.547590481904
"Shaman's Sneakthief Coat of the Centaur",3834.15,13248,20099,60,20,28.941349637681
"Shaman's Sneakthief Coat of the Centaur",12341.95,10102,26407,28,14,122.17333201346
"Nika's Boots",5296,35502,48000,87,68,14.917469438342
"Cleric's Sneakthief Coat of the Flame Legion",12585,8238,24500,30,16,152.7676620539
"Cleric's Sneakthief Coat of Vampirism",9408.8,6304,18488,37,12,149.25126903553
"Rampager's Sneakthief Sandals of the Centaur",3475.95,12576,18887,125,39,27.639551526718
"Rampager's Sneakthief Sandals of Vampirism",12253.75,13240,29995,150,8,92.550981873112
"Aidan's Boots",9045,15603,29000,150,64,57.969621226687
"Cleric's Sneakthief Sandals of the Traveler",15300.1,78526,110386,32,27,19.484119909329
"Cleric's Sneakthief Sandals of the Dolyak",6387.95,18249,28987,59,24,35.004383801852
"Ravaging Cabalist Coat of the Centaur",2018.05,3074,5993,109,41,65.648991541965
"Berserker's Seer Boots of the Flock",13608,15715,34500,84,15,86.592427616926
"Zhed's Boots",9543.65,30021,46549,141,46,31.789913727058
"Carrion Seer Boots of Dwayna",47767,20231,80000,28,7,236.10795314122
"Ogden's Boots",24027.85,61005,100041,130,14,39.386689615605
"Rampager's Seer Boots of Rage",13182.8,12441,30148,44,11,105.96254320392
"Shaman's Seer Boots of the Flame Legion",11514.3,9732,24998,40,19,118.31381011097
"Shaman's Seer Boots of the Dolyak",7216.8,22249,34668,64,28,32.436514000629
"Cleric's Seer Boots of the Lich",3198.45,5297,9997,90,41,60.382291863319
"Berserker's Sneakthief Shoulderguards of the Citadel",16735.75,41806,68875,114,35,40.031933215328
"Nika's Pauldrons",7860.15,38802,54899,89,35,20.257074377609
"Carrion Sneakthief Shoulderguards of the Flame Legion",62510.05,22550,100073,42,14,277.20643015521
"Rampager's Sneakthief Shoulderguards of the Centaur",4470.5,27700,37850,35,10,16.138989169675
"Aidan's Pauldrons",5062.35,16603,25491,153,69,30.490573992652
"Shaman's Sneakthief Shoulderguards of Divinity",15566.65,78619,110809,82,12,19.80011193223
"Reyna's Pauldrons",12875.25,77295,106085,124,26,16.657287017271
"Cleric's Sneakthief Shoulderguards of Mercy",8004.6,5165,15496,40,10,154.97773475315
"Berserker's Sneakthief Gloves of the Grove",25865.6,25214,60096,123,13,102.58427857539
"Carrion Sneakthief Gloves of the Lich",17733.05,10598,33333,21,7,167.32449518777
