Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin,Level,Rarity,Item Type
Aidan's Coat,5206.95,15605,24487,347,130,33.367190003204,80,5,0
Zho's Boots,4969.1,6152,13086,109,96,80.77210663199,80,5,0
Zhed's Boots,6475.65,18146,28969,129,71,35.686377163011,80,5,0
Aidan's Gloves,1499.4,12323,16264,209,201,12.16749168222,80,5,0
Devona's Chestguard,4971.75,23140,33075,126,75,21.485522904062,80,5,0
Aidan's Leggings,5298.15,11444,19699,135,96,46.296312478154,80,5,0
Sheena's Gauntlets,865.5,5890,7950,205,194,14.694397283531,80,5,0
Zhed's Leggings,5555.85,30177,42041,118,53,18.410875832588,80,5,0
Potion of Ascalonian Mages,594,4011,5420,2971,1729,14.809274495138,0,3,3
Leather Bag,512.5,1313,2150,1908,617,39.032749428789,0,1,2
Ogre Bag,2179.65,3844,7089,1636,28,56.702653485952,0,1,2
Box of Vital Chain Armor,1242.35,5123,7491,35,34,24.250439195784,0,2,4
Box of Vital Chain Armor,6375.85,2208,10101,44,29,288.76132246377,0,3,4
Box of Carrion Barbaric Armor,23314.9,10678,39994,15,9,218.34519572954,0,2,4
Box of Carrion Draconic Armor,32240,180258,250000,87,6,17.885475263234,0,5,4
Box of Berserker's Draconic Armor,41994,230004,320000,137,12,18.257943340116,0,5,4
Box of Knight's Draconic Armor,68981,220017,340000,63,14,31.352577300845,0,5,4
Satchel of Berserker's Prowler Armor,16348,10000,31000,55,8,163.48,0,2,4
Satchel of Carrion Emblazoned Armor,157396,80602,280000,73,9,195.27555147515,0,5,4
Satchel of Berserker's Emblazoned Armor,120478,160020,330000,54,13,75.289338832646,0,5,4
Satchel of Rampager's Emblazoned Armor,91815.95,140000,272727,56,9,65.582821428571,0,5,4
Satchel of Carrion Exalted Armor,163099.65,100304,309889,96,8,162.60532979742,0,5,4
Satchel of Berserker's Exalted Armor,86642,210006,349000,68,13,41.256916469053,0,5,4
Satchel of Rampager's Exalted Armor,104192,90456,229000,71,15,115.18528345273,0,5,4
Satchel of Knight's Exalted Armor,180497.4,100004,330004,148,6,180.49018039278,0,5,4
Satchel of Rampager's Feathered Armor,4438.5,12143,19510,281,106,36.551922918554,0,3,4
Large Supply Bag,2264.4,1222,4104,3309,112,185.30278232406,0,1,4
Bag of Supplies,605.75,2431,3575,2562,136,24.917729329494,0,1,4
Sack of Supplies,863.5,265,1330,1859,279,325.84905660377,0,1,4
Large Bag of Supplies,1078.75,1533,3075,2651,42,70.368558382257,0,1,4
Bag of Experimental Materials,1878.8,1713,4228,1427,102,109.67892586106,0,1,4
