Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin,Level,Rarity,Item Type
Berserker's Banded Greaves of the Eagle,6793.45,3011,11537,121,11,225.62105612753,80,4,0
Box of Mighty Chain Armor,4733.15,1214,6999,149,25,389.8805601318,0,2,4
Box of Rejuvenating Splint Armor,23957,10041,40000,26,6,238.59177372772,0,2,4
Box of Rampager's Gladiator Armor,39899.4,10201,58944,19,7,391.13224193706,0,4,4
Box of Carrion Barbaric Armor,23235,10678,39900,15,10,217.59692826372,0,2,4
Box of Berserker's Gladiator Armor,32429,12194,52500,303,6,265.94226668854,0,4,4
Box of Rampager's Gladiator Armor,38902.3,12094,59998,17,7,321.66611542914,0,4,4
Box of Knight's Gladiator Armor,33304,9194,50000,84,13,362.23624102676,0,4,4
Satchel of Resilient Seeker Armor,7439.65,2001,11109,40,6,371.79660169915,0,3,4
Satchel of Mighty Embroidered Armor,10889.3,3302,16698,100,29,329.77892186554,0,3,4
Satchel of Vital Embroidered Armor,2514.9,2102,5434,146,7,119.64319695528,0,3,4
Satchel of Ravaging Student Armor,6508,2500,10600,30,19,260.32,0,2,4
Satchel of Carrion Exalted Armor,162344,100304,309000,96,8,161.85197001117,0,5,4
Satchel of Cleric's Exalted Armor,130917.9,60325,224994,115,9,217.0209697472,0,5,4
Large Supply Bag,2386.2,1022,4012,3575,140,233.48336594912,0,1,4
Heavy Stolen Supplies Bag,1925.25,542,2905,4370,100,355.21217712177,0,1,4
Heavy Bag of Supplies,1442,562,2360,5222,124,256.58362989324,0,1,4
Medium Bag of Skritt Shinies,932.35,418,1591,2409,77,223.05023923445,0,1,4
Large Bag of Skritt Shinies,4449.15,4031,9979,466,31,110.37335648722,0,1,4
Moldy Bag,1522,1026,3000,3443,81,148.34307992203,0,1,4
Recipe: Tray of Chocolate Omnomberry Creams,66573,40100,125500,48,7,166.0174563591,80,2,3
Recipe: Tray of Omnomberry ComRecipe: Pote,51251.2,30000,95592,52,9,170.83733333333,80,2,3
Recipe: Tray of Omnomberry Cookies,101629,30034,154900,12,6,338.37983618566,80,2,3
Recipe: Feast of Fire Flank Steak,51854,50144,120000,41,40,103.41017868539,80,2,3
Recipe: Feast of Lemongrass Poultry,67328,60000,149800,35,6,112.21333333333,80,2,3
Recipe: Feast of Orrian Steak Frittes,91884,56014,174000,27,10,164.03756203806,80,2,3
Recipe: Feast of Rare Veggie Pizzas,110788,40000,177400,28,11,276.97,80,2,3
Recipe: Pot of Truffle Risotto,77458.75,50035,149995,16,12,154.80913360648,80,2,3
Recipe: Feast of Truffle Steak,44964,40034,100000,45,13,112.31453264725,80,2,3
Recipe: Tray of Garlic Bread,27519.3,10302,44498,273,26,267.12580081538,25,2,3
Recipe: Feast of Lotus Fries,68962,50036,140000,35,10,137.82476616836,80,2,3
Recipe: Pot of Recipe: Potato and Leek Soup,111455.5,50034,189990,50,6,222.759523524,75,2,3
Recipe: Pot of Orrian Truffle and Meat Stew,93647.15,50000,168999,71,7,187.2943,80,2,3
Recipe: Corrupted Shard,839.6,226,1256,523,409,371.50442477876,80,3,3
Recipe: Corrupted Artifact,560,203,900,192,65,275.86206896552,80,3,3
Recipe: Corrupted Avenger,791.2,220,1192,231,211,359.63636363636,80,3,3
Recipe: Corrupted Revolver,569.5,151,850,310,56,377.15231788079,80,3,3
Recipe: Corrupted Scepter,704.75,190,1055,604,95,370.92105263158,80,3,3
Recipe: Corrupted Bulwark,611.15,236,999,361,165,258.96186440678,80,3,3
Recipe: Satchel of Carrion Exalted Armor (Exotic),95497,32001,150000,91,7,298.41879941252,0,5,3
Recipe: Satchel of Valkyrie Exalted Armor (Exotic),220161.95,60002,329607,101,6,366.92435252158,0,5,3
Recipe: Satchel of Berserker's Exalted Armor (Exotic),118411,60002,209900,108,9,197.34508849705,0,5,3
Recipe: Satchel of Rampager's Exalted Armor (Exotic),130771.9,47704,209974,101,9,274.1319386215,0,5,3
Recipe: Box of Carrion Draconic Armor (Exotic),92062,26001,138900,59,10,354.07099726934,0,5,3
