Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin,Level,Rarity,Item Type
Nika's Coat,10524.95,44304,64507,153,57,23.756207114482,80,5,0
Aidan's Coat,8639.15,38108,54999,334,37,22.670174241629,80,5,0
Aidan's Boots,7898.75,18275,30795,139,73,43.221614227086,80,5,0
Zhed's Boots,7345.8,35176,50028,128,55,20.882988401183,80,5,0
Nika's Pauldrons,6982,37811,52700,87,64,18.46552590516,80,5,0
Aidan's Pauldrons,4165.2,17960,26032,158,106,23.19153674833,80,5,0
Aidan's Gloves,6661.1,22055,33786,233,67,30.202221718431,80,5,0
Jalis' Chestguard,6335.45,19075,29897,83,66,33.213368283093,80,5,0
Aidan's Leggings,4940.15,23107,32999,131,71,21.379452114078,80,5,0
Zhed's Leggings,8610.5,42175,59750,117,29,20.416123295791,80,5,0
Grawl Snowman Potion,3340.25,946,5045,1100,77,353.09196617336,0,3,3
Ogre Bag,1018.25,3013,4745,1638,262,33.795220710256,0,1,2
Box of Mighty Chain Armor,2180.45,1215,3997,131,46,179.46090534979,0,2,4
Box of Healing Chain Armor,3916.95,4536,9947,70,14,86.352513227513,0,2,4
Box of Strong Chain Armor,16248.65,10056,30949,129,14,161.58164280032,0,2,4
Box of Hearty Gladiator Armor,32642.45,10278,50497,136,18,317.59534928975,0,4,4
Box of Carrion Barbaric Armor,23993.9,9999,39994,12,7,239.96299629963,0,2,4
Box of Berserker's Gladiator Armor,37553.15,12594,58999,308,6,298.18286485628,0,4,4
Box of Cleric's Draconic Armor,144631,110367,300000,107,13,131.04551179247,0,5,4
Box of Berserker's Draconic Armor,99365,205358,358500,140,6,48.38623282268,0,5,4
Box of Knight's Draconic Armor,107798,130200,280000,61,15,82.794162826421,0,5,4
Satchel of Mighty Seeker Armor,6823.45,2522,10997,87,22,270.55709754163,0,2,4
Satchel of Vital Embroidered Armor,19642.15,5005,28999,146,12,392.45054945055,0,3,4
Satchel of Honed Student Armor,18147.95,5027,27267,143,12,361.00954843843,0,2,4
Satchel of Berserker's Exalted Armor,40399,240099,330000,67,19,16.825975951587,0,5,4
Satchel of Knight's Exalted Armor,169425,100023,317000,148,9,169.38604121052,0,5,4
Satchel of Cleric's Feathered Armor,24491,35007,70000,16,6,69.960293655555,0,3,4
Ritual Bag,720.85,638,1601,12603,106,112.98589341693,0,1,4
Medium Supply Bag,683.9,329,1194,2356,351,207.87234042553,0,1,4
Large Supply Bag,1538.8,1492,3568,3657,165,103.13672922252,0,1,4
Large Stolen Supplies Bag,595.55,153,883,1873,423,389.24836601307,0,1,4
Bag of Supplies,2601.3,2053,5478,2599,80,126.7072576717,0,1,4
Sack of Supplies,758.1,384,1346,1207,123,197.421875,0,1,4
Medium Bag of Supplies,1387.65,386,2089,5186,475,359.49481865285,0,1,4
Large Bag of Supplies,2091.45,3276,6317,2573,77,63.841575091575,0,1,4
Large Thorned Bag,1485.35,1055,2991,2442,123,140.79146919431,0,1,4
Small Bag of Skritt Shinies,1173.75,588,2075,2868,64,199.61734693878,0,1,4
Large Treat Bag,675.25,347,1205,3855,308,194.59654178674,0,1,4
12 Slot Cotton Bag,1327.15,4620,6999,1114,466,28.72619047619,0,1,2
15 Slot Linen Bag,1037.3,9329,12198,1498,1296,11.119091006539,0,1,2
12 Slot Coarse Leather Pack,525,3128,4300,1916,1196,16.783887468031,0,1,2
15 Slot Darksteel Box,1917.15,7600,11199,557,190,25.225657894737,0,1,2
10 Slot Oiled Leather Pack,519.85,1077,1881,468,384,48.268337975859,0,2,2
15 Slot Invisible Leather Pack,1075.95,7632,10247,435,246,14.097877358491,0,2,2
15 Slot Oiled Leather Pack,1737.5,7602,10990,514,271,22.855827413838,0,2,2
