Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin
"Scythe Staff Skin",8019998,11764706
"Severed Dagger Skin",502501,743299
"Grinning Gourd Rifle Skin",477501,664999
"Ghastly Grinning Shield Skin",23700000,35999999
"Greatsaw Greatsword Skin",16510011,21989488
"Deathly Pauldrons Skin",2002021,3200001
"Deathly Mantle Skin",3030001,4898500
"Deathly Shoulderpads Skin",2619697,4497777
"Chain Sword Skin",950001,1549998
"Deathly Avian Shoulderpads Skin",520650,844899
"Deathly Avian Mantle Skin",1500048,2494847
"Deathly Avian Pauldrons Skin",464748,589999
"Deathly Bull's Shoulderpads Skin",654426,854426
"Deathly Bull's Mantle Skin",410000,1750000
"Deathly Bull's Pauldrons Skin",680116,1200999
"Light Consortium Breathing Mask Skin",30410,58993
"Medium Consortium Breathing Mask Skin",28256,62896
"Heavy Consortium Breathing Mask Skin",40005,71000
"Heavy Island Shoulder Skin",30004,79621
"Light Island Shoulder Skin",48996,62294
"Medium Island Shoulder Skin",67604,999998
"Shark's Tooth Sword Skin",60616,100000
"Tiki Totem Shield Skin",50322,95997
"Consortium Clipper Focus Skin",116141,149998
"Shark's Tooth Axe Skin",83091,108998
"Winter's Needle Dagger Skin",1200000,1435088
"Winter's Shelter Shield Skin",1200000,1200521
"Winter's Timber Staff Skin",1040221,1274897
"Winter's Slice Sword Skin",970003,1459898
"Winter's Cutter Axe Skin",921504,1359696
"Winter's Sting Pistol Skin",1060109,1400004
"Winter's Reach Longbow Skin",1150000,1398197
"Winter's Arc Short Bow Skin",1150000,1409999
"Winter's Brunt Hammer Skin",882225,1321198
"Winter's Edge Greatsword Skin",1010003,1201002
"Toy Staff Skin",1,2
"Toy Sword Skin",3,6
"Pop Gun Skin",2,3
"Wooden Dagger Skin",1,2
"Candy-Cane Hammer Skin",1,2
"Slingshot Skin",2,3
"Princess Wand Skin",21,33
"Bell Focus Skin",2,3
"Fused Greatsword Skin",7000000,10900000
"Fused Sword Skin",6750403,14000000
"Fused Dagger Skin",6050002,8850000
"Fused Axe Skin",7500000,14990000
"Fused Hammer Skin",5500005,13999999
"Fused Staff Skin",5020001,9990000
"Fused Shield Skin",4210101,16250006
"Fused Focus Skin",4057781,17999999
"Fused Torch Skin",4820400,9990000
"Fused Warhorn Skin",5005641,0
"Fused Scepter Skin",5200001,0
"Fused Pistol Skin",5009005,0
"Fused Rifle Skin",5000005,0
"Fused Short Bow Skin",7702347,14002033
"Fused Longbow Skin",5510704,14007602
"Fused Mace Skin",5001005,0
"Super Greatsword Skin",1540020,2155000
"Super Long Bow Skin",450000,729979
"Super Scepter Skin",400000,652501
"Super Shield Skin",897599,1159995
"Super Short Bow Skin",500000,600000
"Super Staff Skin",1150001,1597244
"Super Sword Skin",1000002,1150104
"Sclerite Axe Skin",1500000,2489999
"Sclerite Dagger Skin",1309998,3909998
"Sclerite Focus Skin",1400000,2999997
"Sclerite Greatsword Skin",3800000,9000000
"Sclerite Hammer Skin",1111149,2159998
"Sclerite Longbow Skin",888922,1958920
"Sclerite Mace Skin",1234609,2890097
"Sclerite Pistol Skin",1500001,2799899
"Sclerite Rifle Skin",1200002,2100000
"Sclerite Scepter Skin",1400000,1999897
"Sclerite Shield Skin",1111117,1999799
"Sclerite Short Bow Skin",890000,1890078
"Sclerite Staff Skin",1566053,2901428
"Sclerite Sword Skin",1730704,2837733
"Sclerite Torch Skin",808324,1999998
"Sclerite Warhorn Skin",1405008,3399999
"Dragon's Jade Reaver Skin",552206,1079998
"Dragon's Jade Kris Skin",630101,877777
"Dragon's Jade Aspect Skin",695000,990901
"Dragon's Jade Avenger Skin",702727,924500
"Dragon's Jade Warhammer Skin",650001,1000000
"Dragon's Jade Hornbow Skin",650000,1000000
"Dragon's Jade Cudgel Skin",670615,1059998
"Dragon's Jade Flintlock Skin",700001,1040000
"Dragon's Jade Blunderbuss Skin",565133,1000000
"Dragon's Jade Truncheon Skin",670030,1059999
"Dragon's Jade Wall Skin",581119,999800
"Dragon's Jade Needler Skin",691000,1110995
"Dragon's Jade Quarterstaff Skin",532132,995495
"Dragon's Jade Lacerator Skin",696970,1119996
"Dragon's Jade Flame Skin",435200,999999
"Dragon's Jade Harbinger Skin",605501,1129996
"Wind Catcher Skin",1170005,1380004
"Sun Catcher Skin",320000,380000
"Lightning Catcher Skin",372117,540000
"Desert Rose Skin",670302,790303
"Zephyr Rucksack Skin",945003,1289699
"Aetherized Axe Skin",2500008,7999500
"Aetherized Dagger Skin",2900077,0
"Aetherized Focus Skin",3000059,0
"Aetherized Greatsword Skin",3150077,9500000
"Aetherized Hammer Skin",2451992,8909900
"Aetherized Longbow Skin",3000005,0
"Aetherized Mace Skin",2570704,5877733
"Aetherized Pistol Skin",5000001,9500000
"Aetherized Rifle Skin",3000001,8500000
"Aetherized Scepter Skin",2200077,0
"Aetherized Shield Skin",2902505,7780000
"Aetherized Short Bow Skin",3026981,0
"Aetherized Staff Skin",5010091,23000000
"Aetherized Sword Skin",3100000,7202850
"Aetherized Torch Skin",3002462,0
"Aetherized Warhorn Skin",2309847,7777777
"Aetherized Trident Skin",1298990,0
"Aetherized Harpoon Gun Skin",3000006,0
"Aetherized Spear Skin",2414489,7770777
"Chiroptophobia Greatsword Skin",1161219,1702499
"Araneae Longbow Skin",1669599,2089598
"Dead Stop Shield Skin",1051125,1419998
"Bloody Prince Staff Skin",1650006,2199898
"Silly Scimitar Skin",1505017,2000000
"Zodiac Axe Skin",1860110,2990000
"Zodiac Dagger Skin",1870704,3333330
"Zodiac Focus Skin",1500078,2909090
"Zodiac Greatsword Skin",1900000,2900000
