id,name,buy,sell,supply,demand
24,"Sealed Package of Snowballs",102,197,16475,18219
68,"Mighty Country Coat",180,247,132,1600
69,"Mighty Country Coat",161,238,839,2296
70,"Mighty Studded Coat",72,269,376,3193
71,"Mighty Worn Chain Greaves",110,229,1035,879
72,"Berserker's Sneakthief Mask of the Afflicted",36077,57577,48,126
73,"Berserker's Sneakthief Mask of Dwayna",4392,10000,102,142
74,"Mighty Worn Chain Greaves",76,452,534,1827
75,"Berserker's Sneakthief Mask of Strength",107636,140099,80,297
76,"Berserker's Seer Coat of the Flame Legion",41006,78000,26,343
77,"Mighty Studded Coat",50,200,170,3477
78,"Strong Worn Scale Boots",185,285,88,380
79,"Berserker's Seer Coat of the Traveler",30311,38006,115,69
80,"Nika's Mask",30503,50502,160,125
81,"Mighty Studded Boots",58,155,545,1297
82,"Berserker's Seer Coat of the Afflicted",4524,7358,310,83
83,"Strong Worn Scale Boots",119,318,332,536
84,"Zhed's Coat",42308,59998,112,164
85,"Carrion Seer Coat of Rage",9895,24995,78,147
86,"Carrion Sneakthief Mask of Grenth",5068,11198,46,68
87,"Strong Worn Scale Boots",113,209,76,742
88,"Carrion Seer Coat of the Centaur",4589,8080,141,82
89,"Carrion Sneakthief Mask of Balthazar",4500,7118,129,70
90,"Berserker's Reinforced Scale Boots",62,160,163,81
91,"Carrion Seer Coat of the Afflicted",4561,7343,277,140
92,"Carrion Sneakthief Mask of the Flame Legion",4297,7198,172,110
93,"Shiro's Mask",7006,11008,84,76
94,"Ogden's Coat",111644,135000,42,136
95,"Berserker's Reinforced Scale Boots",57,100,252,26
96,"Rampager's Sneakthief Mask of the Citadel",10019,19713,51,55
97,"Rampager's Seer Coat of the Traveler",30316,51979,85,133
98,"Berserker's Reinforced Scale Boots",70,1035,410,183
99,"Mighty Studded Boots",48,199,1750,995
100,"Rampager's Seer Coat of Divinity",50845,99998,10,96
101,"Rampager's Sneakthief Mask of the Traveler",32540,67707,70,143
102,"Berserker's Reinforced Scale Boots",73,108,825,16
103,"Aidan's Mask",24003,31794,268,199
104,"Norgu's Coat",2414,10221,312,132
105,"Shaman's Seer Coat of the Flame Legion",5592,14375,68,62
106,"Berserker's Sneakthief Coat of the Dolyak",80002,149999,7,228
107,"Shaman's Sneakthief Mask of the Grove",3996,9305,36,43
108,"Shaman's Seer Coat of Divinity",23112,38798,38,93
109,"Shaman's Sneakthief Mask of Melandru",3682,13647,68,168
110,"Berserker's Reinforced Scale Boots",78,93,675,1783
111,"Tahlkora's Coat",8041,9403,159,228
112,"Berserker's Sneakthief Coat of the Centaur",6160,15796,100,44
113,"Cleric's Seer Coat of the Eagle",6364,11633,65,45
114,"Mighty Worn Chain Greaves",98,168,286,267
115,"Reyna's Mask",8081,11080,272,226
116,"Cleric's Sneakthief Mask of the Pack",15772,41117,75,148
117,"Cleric's Seer Coat of the Afflicted",7656,24855,15,87
118,"Mhenlo's Coat",4644,7941,196,143
119,"Berserker's Sneakthief Coat of Vampirism",4531,7996,286,80
120,"Strong Worn Chain Greaves",70,5065,11,1550
121,"Cleric's Sneakthief Mask of Rage",9021,34512,19,111
123,"Zho's Mask",6507,10083,305,78
125,"Nika's Coat",32930,49093,126,178
126,"Strong Worn Chain Greaves",179,276,166,679
128,"Berserker's Seer Coat of Rata Sum",3021,7210,350,145
129,"Strong Worn Scale Boots",184,280,182,473
131,"Khilbron's Coat",8026,10594,372,277
132,"Mighty Country Coat",165,247,1037,436
133,"Berserker's Sneakthief Mask of the Flame Legion",4533,7485,165,70
134,"Strong Worn Scale Boots",185,285,115,288
135,"Mighty Country Coat",181,482,431,982
136,"Vatlaaw's Mask",8469,10599,221,67
137,"Mighty Country Coat",257,684,272,570
138,"Mighty Swindler Mask",89,285,1761,1935
139,"Carrion Sneakthief Coat of Mercy",14096,29496,41,108
140,"Strong Worn Scale Boots",180,375,152,969
141,"Mighty Swindler Mask",100,304,373,1837
142,"Precise Country Coat",106,199,165,442
143,"Carrion Sneakthief Coat of the Dolyak",5304,8014,409,107
144,"Precise Country Coat",144,240,136,920
145,"Precise Swindler Mask",66,596,842,1681
146,"Precise Country Coat",132,472,182,471
147,"Precise Swindler Mask",96,342,187,1099
148,"Mighty Worn Chain Greaves",57,118,976,5416
149,"Vital Country Coat",123,207,168,861
150,"Vital Country Coat",139,308,348,1088
151,"Carrion Sneakthief Coat of Hoelbrak",34702,49999,170,179
152,"Precise Worn Chain Greaves",91,135,759,1602
153,"Vital Swindler Mask",101,339,65,1856
154,"Vital Country Coat",166,390,109,1240
155,"Shiro's Coat",8908,11308,323,105
156,"Vital Swindler Mask",77,353,201,2932
157,"Malign Country Coat",204,250,150,855
158,"Precise Worn Chain Greaves",98,144,194,864
159,"Malign Swindler Mask",91,317,324,636
160,"Malign Swindler Mask",126,425,303,1804
161,"Malign Country Coat",128,328,140,446
162,"Berserker's Sneakthief Sandals of the Dolyak",23128,51370,24,218
163,"Malign Country Coat",440,640,187,244
164,"Precise Worn Chain Greaves",94,174,732,1120
165,"Strong Country Coat",637,1015,319,858
166,"Strong Swindler Mask",114,401,496,2481
167,"Ravaging Worn Chain Greaves",201,288,181,800
168,"Rampager's Sneakthief Coat of the Pack",30918,54800,66,146
169,"Strong Swindler Mask",242,350,184,1437
170,"Strong Country Coat",598,735,114,148
171,"Berserker's Sneakthief Sandals of Dwayna",4963,13885,100,127
172,"Strong Magician Coat",167,1013,158,609
173,"Strong Swindler Mask",231,465,149,749
174,"Strong Magician Coat",176,766,204,299
175,"Ravaging Worn Chain Greaves",201,264,159,1425
176,"Strong Swindler Mask",291,350,71,794
177,"Ravaging Country Coat",250,448,181,439
178,"Rampager's Sneakthief Coat of Vampirism",51960,239500,13,213
179,"Ravaging Swindler Mask",250,385,290,1186
180,"Ravaging Country Coat",403,792,67,851
181,"Ravaging Worn Scale Boots",188,259,161,685
182,"Ravaging Swindler Mask",312,425,333,1106
183,"Aidan's Coat",27375,35397,161,337
184,"Ravaging Magician Coat",406,800,147,645
185,"Ravaging Swindler Mask",275,352,78,976
186,"Ravaging Magician Coat",442,920,178,207
187,"Ravaging Worn Scale Boots",215,263,159,1209
188,"Berserker's Sneakthief Sandals of the Citadel",3987,7288,250,72
189,"Ravaging Swindler Mask",231,431,68,1074
190,"Honed Country Coat",596,696,192,185
191,"Shaman's Sneakthief Coat of the Centaur",6323,16194,30,104
192,"Honed Country Coat",574,773,174,660
193,"Ravaging Worn Scale Boots",200,298,323,444
194,"Honed Swindler Mask",275,389,90,1399
195,"Honed Magician Coat",609,809,87,768
196,"Shaman's Sneakthief Coat of the Centaur",10812,19964,30,23
197,"Honed Swindler Mask",222,468,87,1497
198,"Honed Magician Coat",686,785,211,227
199,"Ravaging Worn Scale Boots",200,264,139,543
200,"Honed Swindler Mask",225,391,134,3076
201,"Honed Swindler Mask",301,500,93,568
202,"Ravaging Country Coat",593,742,209,158
203,"Reyna's Coat",9500,14399,202,149
204,"Ravaging Country Coat",140,796,140,439
205,"Ravaging Swindler Mask",233,389,107,1802
206,"Ravaging Worn Scale Boots",116,205,96,959
207,"Ravaging Magician Coat",297,994,172,784
208,"Nika's Boots",43027,58797,165,80
209,"Ravaging Worn Scale Boots",132,200,247,282
210,"Cleric's Sneakthief Coat of the Flame Legion",6885,40672,15,52
211,"Ravaging Magician Coat",670,718,209,794
212,"Ravaging Swindler Mask",282,450,16,834
213,"Strong Magician Coat",667,700,152,567
214,"Ravaging Swindler Mask",272,649,282,1025
215,"Carrion Reinforced Scale Boots",79,147,158,734
216,"Cleric's Sneakthief Coat of Vampirism",11010,59999,15,82
217,"Strong Magician Coat",864,1190,105,651
218,"Ravaging Swindler Mask",311,509,83,1254
219,"Strong Magician Coat",1079,1256,159,180
220,"Strong Swindler Mask",322,519,317,934
221,"Strong Magician Coat",673,1073,113,388
222,"Carrion Reinforced Scale Boots",73,99,185,54
223,"Zho's Coat",7584,15872,105,170
224,"Strong Swindler Mask",325,621,60,797
225,"Ravaging Magician Coat",322,1158,132,670
226,"Ravaging Magician Coat",161,1099,157,456
227,"Carrion Sneakthief Sandals of the Traveler",32733,59943,46,86
228,"Strong Swindler Mask",693,970,50,1095
229,"Ravaging Magician Coat",722,1007,113,163
230,"Carrion Reinforced Scale Boots",73,101,232,537
231,"Strong Swindler Mask",762,954,55,572
232,"Ravaging Swindler Mask",325,499,295,1190
233,"Ravaging Magician Coat",1076,1135,112,158
234,"Honed Magician Coat",859,1100,171,478
236,"Ravaging Swindler Mask",383,683,40,813
237,"Carrion Reinforced Scale Boots",76,98,2101,728
239,"Honed Magician Coat",995,1090,118,1019
240,"Carrion Reinforced Scale Boots",72,78,1229,442
241,"Ravaging Swindler Mask",783,883,54,731
242,"Ravaging Swindler Mask",773,959,52,790
243,"Honed Magician Coat",1050,1200,153,220
244,"Honed Magician Coat",528,648,170,113
245,"Carrion Sneakthief Sandals of the Traveler",30019,39914,153,78
246,"Honed Swindler Mask",272,644,44,1426
247,"Ravaging Magician Coat",859,1093,127,404
248,"Berserker's Sneakthief Coat of Balthazar",4405,7299,297,79
249,"Ravaging Magician Coat",739,1118,188,1090
250,"Honed Swindler Mask",324,880,64,916
251,"Vatlaaw's Coat",9199,11831,192,95
252,"Vital Worn Chain Greaves",70,552,113,1208
253,"Ravaging Magician Coat",471,1070,162,414
254,"Honed Swindler Mask",764,938,54,686
255,"Carrion Sneakthief Sandals of the Pack",22875,29876,220,188
256,"Vital Worn Chain Greaves",85,385,183,1031
257,"Ravaging Magician Coat",0,900,98,0
258,"Honed Swindler Mask",255,555,63,311
259,"Berserker's Cabalist Coat",176,676,103,429
260,"Mighty Studded Coat",110,240,1201,1744
261,"Berserker's Cabalist Coat",112,310,123,641
262,"Ravaging Swindler Mask",314,750,50,1446
263,"Mighty Studded Coat",112,299,338,2375
264,"Vital Worn Chain Greaves",72,220,159,1900
265,"Berserker's Cabalist Coat",115,426,153,164
266,"Ravaging Swindler Mask",401,800,36,1365
267,"Ravaging Swindler Mask",742,1115,42,559
268,"Berserker's Cabalist Coat",190,236,688,359
269,"Berserker's Cabalist Coat",191,288,495,932
270,"Mighty Studded Coat",111,306,366,1436
271,"Ravaging Swindler Mask",209,698,50,430
272,"Honed Worn Chain Greaves",200,293,417,1105
273,"Carrion Cabalist Coat",398,490,145,456
